,names,mass,distance,discovery_year,stellar_magnitude
0,11 Comae Berenices b,19.4 Jupiters,304,2007,4.72307
1,11 Ursae Minoris b,14.74 Jupiters,409,2009,5.013
2,14 Andromedae b,4.8 Jupiters,246,2008,5.23133
3,14 Herculis b,4.66 Jupiters,58,2002,6.61935
4,16 Cygni B b,1.78 Jupiters,69,1996,6.215
5,17 Scorpii b,4.32 Jupiters,408,2020,5.22606
6,18 Delphini b,10.3 Jupiters,249,2008,5.51048
7,1RXS J160929.1-210524 b,8 Jupiters,454,2008,12.618
8,24 Bootis b,0.91 Jupiters,313,2018,5.59
9,24 Sextantis b,1.99 Jupiters,235,2010,6.4535
10,24 Sextantis c,0.86 Jupiters,235,2010,6.4535
11,2M0437 b,4 Jupiters,419,2021,16.186
12,2MASS J01033563-5515561 AB b,13 Jupiters,154,2013,15.788
13,2MASS J01225093-2439505 b,24.5 Jupiters,110,2013,14.244
14,2MASS J02192210-3925225 b,13.9 Jupiters,131,2015,15.0123
15,2MASS J04414489+2301513 b,7.5 Jupiters,393,2010,18.9668
16,2MASS J12073346-3932539 b,5 Jupiters,210,2004,20.15
17,2MASS J19383260+4603591 b,1.9 Jupiters,1293,2015,12.651
18,2MASS J21402931+1625183 A b,20.95 Jupiters,108,2009,17.3961
19,2MASS J22362452+4751425 b,12.5 Jupiters,227,2016,12.368
20,30 Arietis B b,13.82 Jupiters,146,2009,7.09209
21,42 Draconis b,3.88 Jupiters,296,2008,4.8262
22,47 Ursae Majoris b,2.53 Jupiters,45,1996,5.03352
23,47 Ursae Majoris c,0.54 Jupiters,45,2001,5.03352
24,47 Ursae Majoris d,1.64 Jupiters,45,2009,5.03352
25,4 Ursae Majoris b,7.1 Jupiters,240,2006,4.5801
26,51 Eridani b,2 Jupiters,97,2015,5.21149
27,51 Pegasi b,0.46 Jupiters,50,1995,5.45309
28,55 Cancri b,0.8306 Jupiters,41,1996,5.95084
29,55 Cancri c,0.1714 Jupiters,41,2004,5.95084
30,55 Cancri d,3.878 Jupiters,41,2002,5.95084
31,55 Cancri e,7.99 Earths,41,2004,5.95084
32,55 Cancri f,0.141 Jupiters,41,2007,5.95084
33,61 Virginis b,5.1 Earths,28,2009,4.6955
34,61 Virginis c,18.2 Earths,28,2009,4.6955
35,61 Virginis d,22.9 Earths,28,2009,4.6955
36,6 Lyncis b,2.01 Jupiters,178,2008,5.87307
37,70 Virginis b,7.49 Jupiters,58,1996,4.96808
38,75 Ceti b,3 Jupiters,271,2012,5.3532
39,7 Canis Majoris b,1.85 Jupiters,65,2011,3.95
40,7 Canis Majoris c,0.87 Jupiters,65,2019,3.95
41,81 Ceti b,5.3 Jupiters,330,2008,5.64307
42,8 Ursae Minoris b,1.31 Jupiters,530,2015,6.83295
43,91 Aquarii b,3.2 Jupiters,144,2013,4.23946
44,AB Aurigae b,9 Jupiters,529,2022,7.076
45,AB Pictoris b,13.5 Jupiters,163,2005,9.13
46,Alpha Arietis b,1.8 Jupiters,66,2010,2.00538
47,Alpha Tauri b,6.47 Jupiters,67,2015,0.872
48,AU Microscopii b,20.12 Earths,32,2020,8.81
49,AU Microscopii c,9.6 Earths,32,2021,8.81
50,b Centauri AB b,10.9 Jupiters,320,2021,4.01
51,BD-00 4475 b,25.05 Jupiters,139,2021,9.01
52,BD+03 2562 b,6.4 Jupiters,3492,2017,9.577
53,BD-06 1339 b,8.5 Earths,66,2013,9.7
54,BD-06 1339 c,0.17 Jupiters,66,2013,9.7
55,BD-08 2823 b,12.7132 Earths,135,2009,9.86
56,BD-08 2823 c,0.33 Jupiters,135,2009,9.86
57,BD-10 3166 b,0.59 Jupiters,275,2000,10.013
58,BD-11 4672 b,0.65 Jupiters,89,2014,10.03
59,BD-11 4672 c,15.37 Earths,89,2020,10.03
60,BD-13 2130 b,9.78 Jupiters,3018,2007,10.038
61,BD+14 4559 b,1.04 Jupiters,161,2009,9.78
62,BD+15 2375 b,1.061 Jupiters,2505,2016,10.41
63,BD+15 2940 b,1.11 Jupiters,1391,2013,9.01
64,BD-17 63 b,5.1 Jupiters,112,2008,9.62
65,BD+20 2457 b,55.59 Jupiters,5023,2009,9.743
66,BD+20 2457 c,12.47 Jupiters,5023,2009,9.743
67,BD+20 274 b,4.2 Jupiters,4314,2012,9.367
68,BD+20 594 b,22.2481 Earths,585,2016,10.849
69,BD+45 564 b,1.36 Jupiters,175,2021,9.67
70,BD+48 738 b,0.91 Jupiters,2843,2011,9.139
71,BD+48 740 b,1.7 Jupiters,2174,2018,8.69
72,BD+49 828 b,1.6 Jupiters,1442,2015,9.381
73,BD+55 362 b,0.72 Jupiters,171,2021,9.38
74,BD+60 1417 b,15 Jupiters,147,2021,9.374
75,BD+63 1405 b,3.96 Jupiters,124,2021,8.96
76,Beta Cancri b,7.8 Jupiters,290,2014,3.51012
77,Beta Pictoris b,11 Jupiters,64,2008,3.85
78,Beta Pictoris c,9 Jupiters,64,2019,3.85
79,Beta Ursae Minoris b,6.1 Jupiters,126,2014,2.0569
80,CD Ceti b,3.95 Earths,28,2020,13.95
81,CFBDSIR J145829+101343 b,10.5 Jupiters,75,2011,
82,CFHTWIR-Oph 98 b,7.8 Jupiters,,2021,
83,CHXR 73 b,12.569 Jupiters,621,2006,17.2934
84,CI Tauri b,11.6 Jupiters,515,2019,13.642
85,COCONUTS-2 b,6.3 Jupiters,36,2021,11.298
86,CoRoT-10 b,2.75 Jupiters,1104,2010,15.293
87,CoRoT-11 b,2.33 Jupiters,2137,2010,12.897
88,CoRoT-12 b,0.917 Jupiters,3674,2010,15.588
89,CoRoT-13 b,1.308 Jupiters,3748,2010,15.005
90,CoRoT-14 b,7.6 Jupiters,5691,2010,15.932
91,CoRoT-16 b,0.535 Jupiters,2389,2011,16.052
92,CoRoT-17 b,2.43 Jupiters,3837,2011,16.29
93,CoRoT-18 b,3.47 Jupiters,2495,2011,14.868
94,CoRoT-19 b,1.11 Jupiters,2579,2011,14.135
95,CoRoT-1 b,1.03 Jupiters,2570,2008,13.623
96,CoRoT-20 b,4.3 Jupiters,2753,2011,14.63
97,CoRoT-20 c,17 Jupiters,2753,2018,14.63
98,CoRoT-21 b,2.26 Jupiters,4563,2012,16.058
99,CoRoT-22 b,12.2 Earths,2046,2014,13.82
100,CoRoT-23 b,2.8 Jupiters,3461,2011,15.675
101,CoRoT-24 b,5.7 Earths,1930,2014,15.383
102,CoRoT-24 c,28 Earths,1930,2014,15.383
103,CoRoT-25 b,0.27 Jupiters,3600,2013,14.79
104,CoRoT-26 b,0.52 Jupiters,3409,2013,15.861
105,CoRoT-27 b,10.39 Jupiters,3296,2014,15.774
106,CoRoT-28 b,0.484 Jupiters,2499,2015,13.783
107,CoRoT-29 b,0.85 Jupiters,2631,2015,15.408
108,CoRoT-2 b,3.47 Jupiters,696,2008,12.516
109,CoRoT-30 b,2.9 Jupiters,3367,2020,15.571
110,CoRoT-31 b,0.84 Jupiters,6543,2020,15.479
111,CoRoT-3 b,21.66 Jupiters,2508,2008,13.448
112,CoRoT-4 b,0.72 Jupiters,2370,2008,13.652
113,CoRoT-5 b,0.467 Jupiters,2879,2009,14.043
114,CoRoT-6 b,2.96 Jupiters,2105,2009,13.961
115,CoRoT-7 b,4.07661 Earths,522,2009,11.728
116,CoRoT-7 c,8.4 Earths,522,2009,11.728
117,CoRoT-8 b,0.22 Jupiters,1050,2010,14.792
118,CoRoT-9 b,0.84 Jupiters,1347,2009,13.637
119,CoRoTID 223977153 b,0.15 Jupiters,1881,2017,13.626
120,CT Chamaleontis b,17 Jupiters,622,2007,12.335
121,DE Canun Venaticorum b,12.0293 Jupiters,100,2018,12.956
122,DENIS-P J082303.1-491201 b,28.5 Jupiters,68,2013,18.5577
123,DH Tauri b,11 Jupiters,440,2004,13.98
124,DMPP-1 b,24.27 Earths,204,2019,7.98
125,DMPP-1 c,9.6 Earths,204,2019,7.98
126,DMPP-1 d,3.35 Earths,204,2019,7.98
127,DMPP-1 e,4.13 Earths,204,2019,7.98
128,DMPP-2 b,0.437 Jupiters,450,2019,8.57
129,DMPP-3 A b,2.58 Earths,148,2019,9.066
130,DP Leonis b,6.28 Jupiters,997,2009,18.6837
131,DS Tucanae A b,1.3 Jupiters,144,2019,8.17
132,EPIC 201170410.02,1.15 Earths,437,2020,17.6984
133,EPIC 201238110 b,4.16 Earths,520,2019,16.014
134,EPIC 201427007 b,2.86 Earths,2304,2021,14.321
135,EPIC 201497682 b,0.26 Earths,825,2019,13.948
136,EPIC 201595106 b,2.24 Earths,757,2021,11.746
137,EPIC 201615463 c,1.98 Earths,1556,2019,12.081
138,EPIC 201754305 d,1.08 Earths,1093,2019,14.668
139,EPIC 201757695.02,0.688 Earths,1884,2020,14.974
140,EPIC 201833600 c,0.972 Earths,840,2019,14.705
141,EPIC 201841433 b,1.12 Earths,1424,2019,14.983
142,EPIC 205950854 c,2.27 Earths,796,2019,12.365
143,EPIC 206024342 b,3.53 Earths,1207,2019,13.096
144,EPIC 206024342 c,2.54 Earths,1207,2021,13.096
145,EPIC 206024342 d,7.27 Earths,1207,2021,13.096
146,EPIC 206032309 b,1.01 Earths,526,2019,17.89
147,EPIC 206042996 b,3.53 Earths,1474,2019,16.59
148,EPIC 206042996 c,1.87 Earths,1474,2021,16.59
149,EPIC 206215704 b,0.972 Earths,358,2019,17.83
150,EPIC 206317286 b,0.84 Earths,1025,2019,14.005
151,EPIC 206317286 c,5.03 Earths,1025,2022,14.005
152,EPIC 211822797 b,4.35 Earths,607,2016,15.133
153,EPIC 211945201 b,27 Earths,593,2018,10.154
154,EPIC 212297394 b,2.79 Earths,1365,2019,14.611
155,EPIC 212297394 c,5.77 Earths,1365,2016,14.611
156,EPIC 212424622 b,5.35 Earths,1996,2019,13.441
157,EPIC 212499991 b,3.19 Earths,924,2019,13.672
158,EPIC 212587672 b,2.13 Earths,1044,2019,12.488
159,EPIC 212587672 c,5.99 Earths,1044,2016,12.488
160,EPIC 212624936 b,1.87 Earths,1833,2021,13.976
161,EPIC 212624936 c,5.9 Earths,1833,2021,13.976
162,EPIC 212737443 b,7.2 Earths,1097,2019,14.81
163,EPIC 212737443 c,7.7 Earths,1097,2019,14.81
164,EPIC 220492298 b,0.937 Earths,2037,2021,13.991
165,EPIC 220554210 c,3.19 Earths,1619,2019,14.21
166,EPIC 220674823 b,7.72 Earths,798,2016,12.101
167,EPIC 220674823 c,5.8 Earths,798,2016,12.101
168,EPIC 228836835 b,1.37 Earths,490,2021,16.77
169,EPIC 246851721 b,3 Jupiters,1216,2018,11.237
170,EPIC 248847494 b,13 Jupiters,1800,2018,12.353
171,EPIC 249893012 b,8.75 Earths,1048,2020,11.429
172,EPIC 249893012 c,14.67 Earths,1048,2020,11.429
173,EPIC 249893012 d,10.18 Earths,1048,2020,11.429
174,Epsilon Coronae Borealis b,6.7 Jupiters,228,2012,4.12577
175,Epsilon Eridani b,0.78 Jupiters,10,2000,3.71548
176,Epsilon Indi A b,3.25 Jupiters,12,2019,4.69
177,Epsilon Tauri b,7.6 Jupiters,155,2006,3.523
178,FU Tauri b,16 Jupiters,435,2008,15.2412
179,G 264-012 b,2.5 Earths,52,2021,13.078
180,G 264-012 c,3.75 Earths,52,2021,13.078
181,G 9-40 b,4.76 Earths,91,2019,13.821
182,Gaia-1 b,1.68 Jupiters,1186,2022,13.242
183,Gaia-2 b,0.817 Jupiters,683,2022,11.277
184,Gamma 1 Leonis b,8.78 Jupiters,130,2009,1.99509
185,Gamma Cephei b,9.4 Jupiters,46,2003,3.23006
186,Gamma Librae b,1.02 Jupiters,155,2018,3.90672
187,Gamma Librae c,4.58 Jupiters,155,2018,3.90672
188,Gamma Piscium b,1.34 Jupiters,135,2021,3.69252
189,GJ 1061 b,1.37 Earths,12,2020,12.7
190,GJ 1061 c,1.74 Earths,12,2020,12.7
191,GJ 1061 d,1.64 Earths,12,2020,12.7
192,GJ 1132 b,1.66 Earths,41,2015,13.68
193,GJ 1132 c,2.64 Earths,41,2018,13.68
194,GJ 1148 b,0.30425 Jupiters,36,2010,11.939
195,GJ 1148 c,0.21414 Jupiters,36,2017,11.939
196,GJ 1151 b,2.5 Earths,26,2021,13.76
197,GJ 1214 b,8.17 Earths,48,2009,15.1
198,GJ 1252 b,2.09 Earths,66,2020,12.68
199,GJ 1265 b,7.4 Earths,33,2018,14.01
200,GJ 143 b,22.7 Earths,53,2019,8.08
201,GJ 15 A b,3.03 Earths,12,2014,8.09
202,GJ 15 A c,36 Earths,12,2018,8.09
203,GJ 160.2 b,10.2 Earths,84,2014,9.7
204,GJ 163 b,10.6 Earths,49,2013,11.79
205,GJ 163 c,6.8 Earths,49,2013,11.79
206,GJ 163 d,29.4 Earths,49,2013,11.79
207,GJ 179 b,0.82 Jupiters,40,2009,11.963
208,GJ 180 b,6.49 Earths,39,2014,10.914
209,GJ 180 c,6.4 Earths,39,2014,10.914
210,GJ 180 d,7.56 Earths,39,2020,10.914
211,GJ 2056 b,16.2 Earths,93,2020,10.37
212,GJ 229 A c,7.268 Earths,19,2020,8.15
213,GJ 229 b,8.478 Earths,19,2014,8.15
214,GJ 251 b,4 Earths,18,2020,9.89
215,GJ 27.1 b,13 Earths,77,2014,11.45
216,GJ 273 b,2.89 Earths,19,2017,9.84
217,GJ 273 c,1.18 Earths,19,2017,9.84
218,GJ 3021 b,3.37 Jupiters,57,2000,6.59
219,GJ 3082 b,8.2 Earths,54,2020,11.041
220,GJ 3138 b,1.78 Earths,93,2017,10.8275
221,GJ 3138 c,4.18 Earths,93,2017,10.8275
222,GJ 3138 d,10.5 Earths,93,2017,10.8275
223,GJ 317 b,2.5 Jupiters,50,2007,12.4
224,GJ 317 c,1.64396 Jupiters,50,2018,12.4
225,GJ 328 b,2.3 Jupiters,67,2013,9.99
226,GJ 3293 b,23.54 Earths,66,2015,11.945
227,GJ 3293 c,21.09 Earths,66,2015,11.945
228,GJ 3293 d,7.6 Earths,66,2017,11.945
229,GJ 3293 e,3.28 Earths,66,2017,11.945
230,GJ 3323 b,2.02 Earths,18,2017,12.57
231,GJ 3323 c,2.31 Earths,18,2017,12.57
232,GJ 3341 b,6.6 Earths,77,2015,12.062
233,GJ 338 B b,10.27 Earths,21,2020,7.7
234,GJ 3470 b,13.9 Earths,96,2012,12.332
235,GJ 3473 b,1.86 Earths,89,2020,13.74
236,GJ 3473 c,7.41 Earths,89,2020,13.74
237,GJ 3512 b,0.463 Jupiters,31,2019,15.18
238,GJ 357 b,1.84 Earths,31,2019,10.91
239,GJ 357 c,3.4 Earths,31,2019,10.91
240,GJ 357 d,6.1 Earths,31,2019,10.91
241,GJ 3634 b,8.4 Earths,66,2010,11.938
242,GJ 367 b,0.546 Earths,31,2021,10.153
243,GJ 3779 b,8 Earths,45,2018,13.04
244,GJ 3929 b,1.21 Earths,52,2022,12.675
245,GJ 393 b,1.71 Earths,23,2021,9.65
246,GJ 3942 b,7.14 Earths,55,2017,10.166
247,GJ 3998 b,2.47 Earths,59,2016,10.844
248,GJ 3998 c,6.26 Earths,59,2016,10.844
249,GJ 411 b,2.69 Earths,19,2019,7.49
250,GJ 414 A b,7.6 Earths,39,2021,8.31
251,GJ 414 A c,0.16937 Jupiters,39,2021,8.31
252,GJ 422 b,11.07 Earths,41,2014,11.66
253,GJ 4276 b,16.57 Earths,70,2019,12.903
254,GJ 433 b,6.043 Earths,30,2011,9.81
255,GJ 433 c,32.422 Earths,30,2014,9.81
256,GJ 433 d,5.223 Earths,30,2020,9.81
257,GJ 436 b,22.1 Earths,32,2004,10.67
258,GJ 480 b,13.2 Earths,46,2020,11.49
259,GJ 486 b,2.82 Earths,26,2021,11.39
260,GJ 504 b,4 Jupiters,57,2013,5.18799
261,GJ 514 b,5.2 Earths,25,2022,9.05
262,GJ 536 b,5.36 Earths,34,2016,9.71
263,GJ 581 b,15.8 Earths,21,2005,10.57
264,GJ 581 c,5.5 Earths,21,2007,10.57
265,GJ 581 e,1.7 Earths,21,2009,10.57
266,GJ 625 b,2.82 Earths,21,2017,10.066
267,GJ 649 b,0.328 Jupiters,34,2009,9.7
268,GJ 667 C b,5.6 Earths,24,2011,10.602
269,GJ 667 C c,3.8 Earths,24,2011,10.602
270,GJ 667 C e,2.7 Earths,24,2013,10.602
271,GJ 667 C f,2.7 Earths,24,2013,10.602
272,GJ 667 C g,4.6 Earths,24,2013,10.602
273,GJ 674 b,11.09 Earths,15,2007,9.38
274,GJ 676 A b,6.7 Jupiters,52,2010,9.58
275,GJ 676 A c,6.8 Jupiters,52,2016,9.58
276,GJ 676 A d,4.4 Earths,52,2012,9.58
277,GJ 676 A e,8.1 Earths,52,2012,9.58
278,GJ 682 b,4.4 Earths,16,2014,10.94
279,GJ 682 c,8.7 Earths,16,2014,10.94
280,GJ 685 b,9 Earths,47,2019,9.98
281,GJ 687 b,17.2 Earths,15,2014,9.15
282,GJ 687 c,16 Earths,15,2020,9.15
283,GJ 720 A b,13.64 Earths,51,2021,9.84
284,GJ 740 b,2.96 Earths,36,2021,9.22
285,GJ 832 b,0.68 Jupiters,16,2008,8.66
286,GJ 832 c,5.4 Earths,16,2014,8.66
287,GJ 849 b,0.9 Jupiters,29,2006,10.41
288,GJ 849 c,0.702 Jupiters,29,2014,10.41
289,GJ 86 b,4.42 Jupiters,35,1999,6.12
290,GJ 876 b,2.2756 Jupiters,15,1998,10.16
291,GJ 876 c,0.7142 Jupiters,15,2000,10.16
292,GJ 876 d,6.83 Earths,15,2005,10.16
293,GJ 876 e,14.6 Earths,15,2010,10.16
294,GJ 887 b,4.2 Earths,11,2020,7.56
295,GJ 887 c,7.6 Earths,11,2020,7.56
296,GJ 9066 b,30.9 Earths,15,2020,12.71
297,GJ 9066 c,0.21 Jupiters,15,2020,12.71
298,GJ 9689 b,9.65 Earths,100,2020,11.297
299,GJ 96 b,19.66 Earths,39,2018,9.4
300,GJ 9827 b,4.91 Earths,97,2017,10.37
301,GJ 9827 c,0.84 Earths,97,2017,10.37
302,GJ 9827 d,4.04 Earths,97,2017,10.37
303,Gl 378 b,13.02 Earths,49,2019,10.03
304,Gl 49 b,5.63 Earths,32,2019,9.56
305,Gl 686 b,6.624 Earths,27,2018,9.62
306,GPX-1 b,19.7 Jupiters,2137,2021,12.316
307,GQ Lupi b,20 Jupiters,493,2004,11.593
308,GSC 06214-00210 b,16 Jupiters,354,2010,12.416
309,GU Piscium b,11.3 Jupiters,155,2014,14.146
310,HAT-P-11 b,26.69772 Earths,123,2008,9.46
311,HAT-P-11 c,2.3 Jupiters,123,2018,9.46
312,HAT-P-12 b,0.211 Jupiters,466,2009,12.665
313,HAT-P-13 b,0.851 Jupiters,805,2009,10.421
314,HAT-P-13 c,14.28 Jupiters,805,2009,10.421
315,HAT-P-14 b,3.44 Jupiters,726,2010,9.988
316,HAT-P-15 b,1.94 Jupiters,628,2010,12.41
317,HAT-P-16 b,4.193 Jupiters,739,2010,10.911
318,HAT-P-17 b,0.58 Jupiters,301,2010,10.375
319,HAT-P-17 c,3.4 Jupiters,301,2010,10.375
320,HAT-P-18 b,0.197 Jupiters,526,2010,12.597
321,HAT-P-19 b,0.292 Jupiters,659,2010,12.826
322,HAT-P-1 b,0.525 Jupiters,519,2006,9.827
323,HAT-P-20 b,7.246 Jupiters,232,2010,11.231
324,HAT-P-21 b,4.87 Jupiters,904,2010,11.459
325,HAT-P-22 b,2.47 Jupiters,267,2010,9.763
326,HAT-P-23 b,1.34 Jupiters,1190,2010,11.937
327,HAT-P-24 b,0.75 Jupiters,1355,2010,11.762
328,HAT-P-25 b,0.569 Jupiters,980,2010,13.146
329,HAT-P-26 b,22.2481 Earths,463,2010,11.757
330,HAT-P-27 b,0.62 Jupiters,650,2011,12.052
331,HAT-P-28 b,0.626 Jupiters,1309,2011,13.098
332,HAT-P-29 b,0.88 Jupiters,1023,2011,11.825
333,HAT-P-2 b,8.7 Jupiters,417,2007,8.72
334,HAT-P-30 b,0.83 Jupiters,698,2011,10.352
335,HAT-P-31 b,2.27 Jupiters,1122,2011,11.667
336,HAT-P-32 b,0.68 Jupiters,943,2011,11.439
337,HAT-P-33 b,0.92 Jupiters,1292,2011,11.032
338,HAT-P-34 b,3.33 Jupiters,813,2011,10.403
339,HAT-P-35 b,1.056 Jupiters,1654,2011,12.389
340,HAT-P-36 b,1.8482 Jupiters,960,2011,12.146
341,HAT-P-37 b,1.169 Jupiters,1274,2011,13.427
342,HAT-P-38 b,0.267 Jupiters,832,2012,12.525
343,HAT-P-39 b,0.599 Jupiters,2274,2012,12.282
344,HAT-P-3 b,0.65 Jupiters,439,2007,11.856
345,HAT-P-40 b,0.48 Jupiters,1515,2012,11.34
346,HAT-P-41 b,1.19 Jupiters,1136,2012,11.365
347,HAT-P-42 b,1.044 Jupiters,1322,2012,12.125
348,HAT-P-43 b,0.662 Jupiters,1725,2012,13.279
349,HAT-P-44 b,0.352 Jupiters,1135,2014,13.225
350,HAT-P-44 c,4 Jupiters,1135,2014,13.225
351,HAT-P-45 b,0.892 Jupiters,974,2014,12.783
352,HAT-P-46 b,0.493 Jupiters,948,2014,11.997
353,HAT-P-49 b,2.2 Jupiters,1143,2014,10.205
354,HAT-P-4 b,0.671 Jupiters,1045,2007,11.118
355,HAT-P-50 b,1.35 Jupiters,1681,2015,11.703
356,HAT-P-51 b,0.309 Jupiters,1436,2015,13.51
357,HAT-P-52 b,0.818 Jupiters,1178,2015,14.107
358,HAT-P-53 b,1.484 Jupiters,2175,2015,13.78
359,HAT-P-54 b,0.76 Jupiters,469,2015,13.398
360,HAT-P-55 b,0.582 Jupiters,1668,2015,13.197
361,HAT-P-56 b,2.31 Jupiters,1046,2015,10.92
362,HAT-P-57 b,1.41 Jupiters,913,2015,10.639
363,HAT-P-58 b,0.372 Jupiters,1682,2021,12.925
364,HAT-P-59 b,1.54 Jupiters,866,2021,11.64
365,HAT-P-5 b,0.98 Jupiters,989,2007,11.954
366,HAT-P-60 b,0.574 Jupiters,761,2021,9.727
367,HAT-P-61 b,1.057 Jupiters,1105,2021,13.096
368,HAT-P-62 b,0.761 Jupiters,1138,2021,12.539
369,HAT-P-63 b,0.614 Jupiters,14624,2021,20.1544
370,HAT-P-64 b,0.58 Jupiters,2126,2021,12.855
371,HAT-P-65 b,0.527 Jupiters,2409,2016,13.121
372,HAT-P-66 b,0.783 Jupiters,3051,2016,13.014
373,HAT-P-67 b,0.34 Jupiters,1212,2017,10.106
374,HAT-P-68 b,0.724 Jupiters,659,2020,13.802
375,HAT-P-69 b,3.58 Jupiters,1113,2019,9.774
376,HAT-P-6 b,1.32 Jupiters,898,2007,10.469
377,HAT-P-70 b,6.78 Jupiters,1079,2019,9.47
378,HAT-P-7 b,1.84 Jupiters,1113,2008,10.481
379,HAT-P-8 b,1.28 Jupiters,690,2008,10.358
380,HAT-P-9 b,0.749 Jupiters,1485,2008,12.344
381,HATS-10 b,0.526 Jupiters,1745,2015,13.202
382,HATS-11 b,0.83 Jupiters,3081,2016,14.06
383,HATS-12 b,2.39 Jupiters,2434,2016,12.831
384,HATS-13 b,0.543 Jupiters,1376,2015,13.911
385,HATS-14 b,1.071 Jupiters,1673,2015,14.052
386,HATS-15 b,2.17 Jupiters,3717,2016,14.909
387,HATS-16 b,3.27 Jupiters,2469,2016,13.957
388,HATS-17 b,1.338 Jupiters,1306,2016,12.402
389,HATS-18 b,1.9795 Jupiters,2037,2016,14.188
390,HATS-1 b,1.855 Jupiters,926,2012,12.155
391,HATS-22 b,2.74 Jupiters,749,2017,13.397
392,HATS-23 b,1.47 Jupiters,2084,2017,13.84
393,HATS-24 b,2.26 Jupiters,1612,2017,12.915
394,HATS-25 b,0.613 Jupiters,1537,2016,13.172
395,HATS-26 b,0.65 Jupiters,2811,2016,13.006
396,HATS-27 b,0.53 Jupiters,2665,2016,12.782
397,HATS-28 b,0.672 Jupiters,1746,2016,13.981
398,HATS-29 b,0.653 Jupiters,1154,2016,12.62
399,HATS-2 b,1.345 Jupiters,1115,2013,13.565
400,HATS-30 b,0.706 Jupiters,1116,2016,12.283
401,HATS-31 b,0.88 Jupiters,2525,2016,13.315
402,HATS-32 b,0.92 Jupiters,2431,2016,14.386
403,HATS-33 b,1.192 Jupiters,810,2016,11.91
404,HATS-34 b,0.941 Jupiters,1660,2016,13.857
405,HATS-35 b,1.222 Jupiters,1678,2016,12.609
406,HATS-36 b,3.216 Jupiters,2794,2018,14.364
407,HATS-37 A b,31.46517 Earths,691,2020,12.341
408,HATS-38 b,23.51942 Earths,1121,2020,11.967
409,HATS-39 b,0.63 Jupiters,2866,2018,12.745
410,HATS-3 b,1.071 Jupiters,1341,2013,12.433
411,HATS-40 b,1.59 Jupiters,4379,2018,13.478
412,HATS-41 b,9.7 Jupiters,2406,2018,12.678
413,HATS-42 b,1.88 Jupiters,2611,2018,13.682
414,HATS-43 b,0.261 Jupiters,1182,2018,13.562
415,HATS-44 b,0.56 Jupiters,1455,2018,14.397
416,HATS-45 b,0.7 Jupiters,2519,2018,13.325
417,HATS-46 b,0.173 Jupiters,1480,2018,13.783
418,HATS-47 b,0.369 Jupiters,981,2020,14.602
419,HATS-48 A b,0.243 Jupiters,860,2020,14.226
420,HATS-49 b,0.353 Jupiters,1058,2020,14.988
421,HATS-4 b,1.323 Jupiters,1358,2014,13.516
422,HATS-50 b,0.39 Jupiters,2468,2017,14.045
423,HATS-51 b,0.768 Jupiters,1271,2017,12.525
424,HATS-52 b,2.24 Jupiters,1811,2017,13.844
425,HATS-53 b,0.595 Jupiters,1911,2017,13.944
426,HATS-54 b,0.76 Jupiters,2442,2019,13.937
427,HATS-55 b,0.921 Jupiters,1989,2019,13.525
428,HATS-56 b,0.602 Jupiters,1841,2019,11.477
429,HATS-57 b,3.147 Jupiters,912,2019,12.333
430,HATS-58 A b,1.03 Jupiters,1317,2019,11.572
431,HATS-59 b,0.806 Jupiters,2097,2018,14.033
432,HATS-59 c,12.7 Jupiters,2097,2018,14.033
433,HATS-5 b,0.237 Jupiters,804,2014,12.598
434,HATS-60 b,0.662 Jupiters,1587,2018,12.662
435,HATS-61 b,3.4 Jupiters,2217,2018,13.352
436,HATS-62 b,0.179 Jupiters,1706,2018,14.171
437,HATS-63 b,0.96 Jupiters,2033,2018,13.992
438,HATS-64 b,0.96 Jupiters,3523,2018,13.045
439,HATS-65 b,0.821 Jupiters,1609,2018,12.679
440,HATS-66 b,5.33 Jupiters,4821,2018,14.283
441,HATS-67 b,1.45 Jupiters,3132,2018,13.698
442,HATS-68 b,1.29 Jupiters,1970,2018,12.312
443,HATS-69 b,0.577 Jupiters,1352,2018,14.074
444,HATS-6 b,0.319 Jupiters,552,2015,15.044
445,HATS-70 b,12.9 Jupiters,4759,2019,12.227
446,HATS-71 b,0.37 Jupiters,457,2020,16.437
447,HATS-72 b,39.85588 Earths,416,2020,12.324
448,HATS-74 A b,1.46 Jupiters,977,2021,17.26
449,HATS-75 b,0.491 Jupiters,636,2021,15.689
450,HATS-76 b,2.629 Jupiters,1258,2021,16.68
451,HATS-77 b,1.374 Jupiters,1423,2021,16.195
452,HATS-7 b,38.1396 Earths,785,2015,13.347
453,HATS-8 b,0.138 Jupiters,2592,2015,14.512
454,HATS-9 b,0.837 Jupiters,2083,2015,13.256
455,HD 100546 b,752 Jupiters,358,2014,6.69
456,HD 100655 b,1.61 Jupiters,447,2011,6.4421
457,HD 100777 b,1.03 Jupiters,162,2007,8.42
458,HD 10180 c,13.1 Earths,127,2010,7.33
459,HD 10180 d,11.75 Earths,127,2010,7.33
460,HD 10180 e,25.1 Earths,127,2010,7.33
461,HD 10180 f,23.9 Earths,127,2010,7.33
462,HD 10180 g,21.4 Earths,127,2010,7.33
463,HD 10180 h,0.203 Jupiters,127,2010,7.33
464,HD 101930 b,0.25 Jupiters,98,2005,8.21
